"text","cmp_code","eu_code"
"Preamble","H",NA
"In 2016, Democrats meet in Philadelphia with the same basic belief that animated the Continental Congress when they gathered here 240 years ago: Out of many, we are one.","601.1",NA
"Under President Obama’s leadership,","305.1",NA
"and thanks to the hard work and determination of the American people, we have come a long way from the Great Recession and the Republican policies that triggered it.","601.1",NA
"American businesses have now added 14.8 million jobs since private-sector job growth turned positive in early 2010.","410",NA
"Twenty million people have gained health insurance coverage.","504",NA
"The American auto industry just had its best year ever.","410",NA
"And we are getting more of our energy from the sun and wind, and importing less oil from overseas.","501",NA
"But too many Americans have been left out and left behind.","503",NA
"They are working longer hours with less security.","403",NA
"Wages have barely budged","403",NA
"and the racial wealth gap remains wide,","503",NA
"while the cost of everything from childcare to a college education has continued to rise.","403",NA
"And for too many families, the dream of homeownership is out of reach.","401",NA
"As working people struggle, the top one percent accrues more wealth and more power.","403",NA
"Republicans in Congress have chosen gridlock and dysfunction over trying to find solutions to the real challenges we face.","305.1",NA
"It’s no wonder that so many feel like the system is rigged against them.","403",NA
"Democrats believe that cooperation is better than conflict,","601.1",NA
"unity is better than division,","601.1",NA
"empowerment is better than resentment,","503",NA
"and bridges are better than walls.","503",NA
"It’s a simple but powerful idea: we are stronger together.","601.1",NA
"Democrats believe we are stronger when we have an economy that works for everyone","403",NA
"—an economy that grows incomes for working people,","701",NA
"creates good-paying jobs,","701",NA
"and puts a middle-class life within reach for more Americans.","503",NA
"Democrats believe we can spur more sustainable economic growth,","416.2",NA
"which will create good-paying jobs and raise wages.","701",NA
"And we can have more economic fairness,","403",NA
"so the rewards are shared broadly, not just with those at the top.","503",NA
"We need an economy that prioritizes long-term investment over short-term profit-seeking,","403",NA
"rewards the common interest over self-interest,","403",NA
"and promotes innovation and entrepreneurship.","401",NA
"We believe that today’s extreme level of income and wealth inequality—where the majority of the economic gains go to the top one percent and the richest 20 people in our country own more wealth than the bottom 150 million—makes our economy weaker,","403",NA
"our communities poorer,","403",NA
"and our politics poisonous.","602.1",NA
"And we know that our nation’s long struggle with race is far from over.","503",NA
"More than half a century after Rosa Parks sat and Dr. King marched and John Lewis bled, more than half a century after César Chávez, Dolores Huerta, and Larry Itliong organized, race still plays a significant role in determining who gets ahead in America and who gets left behind.","503",NA
"We must face that reality and we must fix it.","503",NA
"We believe a good education is a basic right of all Americans, no matter what zip code they live in.","506",NA
"We will end the school-to-prison pipeline and build a cradle-to-college pipeline instead, where every child can live up to his or her God-given potential.","506",NA
"We believe in helping Americans balance work and family without fear of punishment or penalty.","706",NA
"We believe in at last guaranteeing equal pay for women.","503",NA
"And as the party that created Social Security, we believe in protecting every American’s right to retire with dignity.","504",NA
"We firmly believe that the greed, recklessness, and illegal behavior on Wall Street must be brought to an end.","403",NA
"Wall Street must never again be allowed to threaten families and businesses on Main Street.","403",NA
"Democrats believe we are stronger when we protect citizens’ right to vote, while stopping corporations’ outsized influence in elections.","403",NA
"We will fight to end the broken campaign finance system,","403",NA
"overturn the disastrous Citizens United decision,","403",NA
"restore the full power of the Voting Rights Act,","503",NA
"and return control of our elections to the American people.","201.1",NA
"Democrats believe that climate change poses a real and urgent threat to our economy, our national security, and our children’s health and futures,","501",NA
"and that Americans deserve the jobs and security that come from becoming the clean energy superpower of the 21st century.","416.2",NA
"Democrats believe we are stronger and safer when America brings the world together and leads with principle and purpose.","107",NA
"We believe we should strengthen our alliances, not weaken them.","107",NA
"We believe in the power of development and diplomacy.","107",NA
"We believe our military should be the best-trained, best-equipped fighting force in the world,","104",NA
"and that we must do everything we can to honor and support our veterans.","706",NA
"And we know that only the United States can mobilize common action on a truly global scale, to take on the challenges that transcend borders, from international terrorism to climate change to health pandemics.","107",NA
"Above all, Democrats are the party of inclusion.","503",NA
"We know that diversity is not our problem—it is our promise.","607.1",NA
"As Democrats, we respect differences of perspective and belief, and pledge to work together to move this country forward, even when we disagree.","607.1",NA
"With this platform, we do not merely seek common ground—we strive to reach higher ground.","607.1",NA
"We are proud of our heritage as a nation of immigrants.","602.2",NA
"We know that today’s immigrants are tomorrow’s teachers, doctors, lawyers, government leaders, soldiers, entrepreneurs, activists, PTA members, and pillars of our communities.","602.2",NA
"We believe in protecting civil liberties and guaranteeing civil rights and voting rights, women’s rights and workers’ rights, LGBT rights, and rights for people with disabilities.","503",NA
"We believe America is still, as Robert Kennedy said, “a great country, an unselfish country, and a compassionate country.”","601.1",NA
"These principles stand in sharp contrast to the Republicans,","305.1",NA
"who have nominated as the standard-bearer for their party and their candidate for President a man who seeks to appeal to Americans’ basest differences, rather than our better natures.","305.2",NA
"The stakes have been high in previous elections.","601.1",NA
"But in 2016, the stakes can be measured in human lives—in the number of immigrants who would be torn from their homes;","602.2",NA
"in the number of faithful and peaceful Muslims who would be barred from even visiting our shores;","503",NA
"in the number of allies alienated and dictators courted;","107",NA
"in the number of Americans who would lose access to health care and see their rights ripped away.","504",NA
"This election is about more than Democrats and Republicans.","601.1",NA
"It is about who we are as a nation, and who we will be in the future.","601.1",NA
"Two hundred and forty years ago, in Philadelphia, we started a revolution of ideas and of action that continues to this day.","601.1",NA
"Since then, our union has been tested many times, through bondage and civil war, segregation and depression, two world wars and the threat of nuclear annihilation.","601.1",NA
"Generations of Americans fought and marched and organized to widen the circle of opportunity and dignity—and we are fighting still.","601.1",NA
"Despite what some say, America is and has always been great—but not because it has been perfect.","601.1",NA
"What makes America great is our unerring belief that we can make it better.","601.1",NA
"We can and we will build a more just economy,","403",NA
"a more equal society,","503",NA
"and a more perfect union—because we are stronger together.","601.1",NA
"Raise Incomes and Restore Economic Security for the Middle Class","H",NA
"Democrats believe we must break down all the barriers holding Americans back","403",NA
"and restore the basic bargain that built America’s mighty middle class:","704",NA
"If you work hard and play by the rules, you can get ahead and stay ahead.","403",NA
"The system is not working when we have a rigged economy in which ordinary Americans work longer hours for lower wages,","403",NA
"while most new income and wealth goes to the top one percent.","403",NA
"Republican governors, legislatures, and their corporate allies have launched attack after attack on workers’ fundamental rights to organize and bargain collectively.","701",NA
"Too many Americans are living paycheck to paycheck,","503",NA
"and hallmarks of a middle class life—owning a home,","401",NA
"having access to affordable and quality childcare,","403",NA
"retiring with dignity","706",NA
"—feel out of reach.","403",NA
"It is no wonder so many Americans feel like the deck is stacked against them.","403",NA
"The Democratic Party believes that supporting workers through higher wages,","701",NA
"workplace protections,","701",NA
"policies to balance work and family,","701",NA
"and other investments will help rebuild the middle class for the 21st century.","403",NA
"Raising Workers’ Wages","H",NA
"Democrats believe that the current minimum wage is a starvation wage and must be increased to a living wage.","412",NA
"No one who works full time should have to raise a family in poverty.","701",NA
"We believe that Americans should earn at least $15 an hour","412",NA
"and have the right to form or join a union","701",NA
"and will work in every way we can—in Congress and the federal government, in states and with the private sector—to reach this goal.","701",NA
"We should raise the federal minimum wage to $15 an hour over time and index it,","412",NA
"give all Americans the ability to join a union regardless of where they work,","701",NA
"and create new ways for workers to have power in the economy so every worker can earn at least $15 an hour.","412",NA
