"text","cmp_code","eu_code"
"Preamble",NA,NA
"With this platform, we the Republican Party reaffirm the principles that unite us in a common purpose.","601.1",NA
"We believe in American exceptionalism.","601.1",NA
"We believe the United States of America is unlike any other nation on earth.","601.1",NA
"We believe America is exceptional because of our historic role","601.1",NA
"— first as refuge,","602.2",NA
"then as defender,","104",NA
"and now as exemplar of liberty for the world to see.","201.1",NA
"We affirm — as did the Declaration of Independence: that all are created equal, endowed by their Creator with inalienable rights of life, liberty, and the pursuit of happiness.","601.1",NA
"We believe in the Constitution as our founding document.","203",NA
"We believe the Constitution was written not as a flexible document, but as our enduring covenant.","203",NA
"We believe our constitutional system — limited government, separation of powers, federalism, and the rights of the people — must be preserved uncompromised for future generations.","203",NA
"We believe political freedom and economic freedom are indivisible.","201.1",NA
"When political freedom and economic freedom are separated — both are in peril; when united, they are invincible.","201.1",NA
"We believe that people are the ultimate resource","202.1",NA
"— and that the people, not the government, are the best stewards of our country's God-given natural resources.","202.1",NA
"As Americans and as Republicans we wish for peace","106",NA
"— so we insist on strength.","104",NA
"We will make America safe.","104",NA
"We seek friendship with all peoples and all nations,","107",NA
"but we recognize and are prepared to deal with evil in the world.","104",NA
"Based on these principles, this platform is an invitation and a roadmap.","601.1",NA
"It invites every American to join us and shows the path to a stronger, safer, and more prosperous America.","606.2",NA
"This platform is optimistic because the American people are optimistic.","601.1",NA
"This platform lays out — in clear language — the path to making America great and united again.","601.1",NA
"For the past 8 years America has been led in the wrong direction.","305.1",NA
"Our economy has become unnecessarily weak with stagnant wages.","410",NA
"People living paycheck to paycheck are struggling, sacrificing, and suffering.","410",NA
"Americans have earned and deserve a strong and healthy economy.","410",NA
"Our standing in world affairs has declined significantly — our enemies no longer fear us and our friends no long trust us.","104",NA
"People want and expect an America that is the most powerful and respected country on the face of the earth.","601.1",NA
"The men and women of our military remain the world's best.","706",NA
"The have been shortchanged in numbers, equipment, and benefits by a Commander in Chief who treats the Armed Forces and our veterans as a necessary inconvenience.","104",NA
"The President and the Democratic party have dismantled Americans' system of healthcare.","505",NA
"They have replaced it with a costly and complicated scheme that limits choices and takes away our freedom.","201.1",NA
"The President and the Democratic party have abandoned their promise of being accountable to the American people.","202.1",NA
"They have nearly doubled the size of the national debt.","414",NA
"They refuse to control our borders","601.2",NA
"but try to control our schools, farms, businesses, and even our religious institutions.","201.1",NA
"They have directly attacked the production of American energy","401",NA
"and the industry-related jobs that have sustained families and communities.","701",NA
"The President has been regulating to death a free market economy that he does not like and does not understand.","401",NA
"He defies the laws of the United States by refusing to enforce those with which he does not agree.","305.2",NA
"And he appoints judges who legislate from the bench rather than apply the law.","203",NA
"We, as Republicans and Americans, cannot allow this to continue.","305.1",NA
